epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5717.61,0.55613,0.92106,0.91646,0.70167,0.59566,0.66325,0.57477,0.46819,0.74794,0.81683,0.000204965,0.000204965,0.000204965
43,5852.98,0.55286,0.91236,0.91475,0.69498,0.62274,0.6718,0.58297,0.47044,0.75109,0.81491,0.000201549,0.000201549,0.000201549
44,5990.19,0.55159,0.911,0.91685,0.65171,0.64268,0.67875,0.58833,0.46841,0.7333,0.81765,0.000198134,0.000198134,0.000198134
45,6127.11,0.55023,0.90777,0.91479,0.63587,0.65112,0.6753,0.59044,0.45567,0.71938,0.81131,0.000194718,0.000194718,0.000194718
46,6264.55,0.54352,0.89927,0.91124,0.68885,0.62572,0.68225,0.59466,0.45423,0.71682,0.81093,0.000191303,0.000191303,0.000191303
47,6401.07,0.54309,0.88506,0.91245,0.66943,0.63896,0.68002,0.59476,0.44983,0.70959,0.80713,0.000187887,0.000187887,0.000187887
48,6538.47,0.53702,0.88304,0.91051,0.72349,0.62351,0.68758,0.60152,0.44646,0.69418,0.80704,0.000184472,0.000184472,0.000184472
49,6674.89,0.53791,0.87563,0.90839,0.70757,0.61876,0.68981,0.6018,0.45167,0.69754,0.80725,0.000181056,0.000181056,0.000181056
50,6809.97,0.53962,0.87882,0.91043,0.69357,0.64542,0.69761,0.60951,0.4449,0.68584,0.806,0.00017764,0.00017764,0.00017764
51,6946.06,0.53613,0.87405,0.90936,0.7248,0.61796,0.69447,0.61016,0.44122,0.6829,0.80741,0.000174225,0.000174225,0.000174225
52,7081.36,0.5375,0.86899,0.90887,0.71125,0.63686,0.69552,0.60818,0.44233,0.67675,0.80731,0.000170809,0.000170809,0.000170809
53,7214.53,0.53184,0.85958,0.90733,0.70016,0.65739,0.70648,0.61361,0.43783,0.66841,0.80272,0.000167394,0.000167394,0.000167394
54,7349.47,0.52679,0.85091,0.90527,0.68384,0.65563,0.69949,0.60722,0.43548,0.67644,0.80496,0.000163978,0.000163978,0.000163978
55,7482.93,0.52283,0.8483,0.90569,0.6885,0.65248,0.705,0.618,0.43264,0.66453,0.80135,0.000160563,0.000160563,0.000160563
56,7618.59,0.52761,0.84723,0.90626,0.68723,0.66779,0.70685,0.61771,0.43249,0.66072,0.80205,0.000157147,0.000157147,0.000157147
57,7753.07,0.52269,0.83668,0.90404,0.7293,0.63523,0.70921,0.62216,0.43018,0.65073,0.8018,0.000153732,0.000153732,0.000153732
58,7887.45,0.52108,0.83137,0.90291,0.74327,0.63303,0.71134,0.62327,0.43029,0.65485,0.79804,0.000150317,0.000150317,0.000150317
59,8022.77,0.5216,0.83111,0.9028,0.72144,0.65296,0.71501,0.62565,0.42354,0.64933,0.80047,0.000146901,0.000146901,0.000146901
60,8156.05,0.51805,0.81914,0.90104,0.68692,0.66827,0.71297,0.62638,0.42294,0.64658,0.79665,0.000143486,0.000143486,0.000143486
61,8289.84,0.51673,0.82237,0.9019,0.72682,0.66159,0.71443,0.63025,0.41643,0.64042,0.79484,0.00014007,0.00014007,0.00014007
62,8423.45,0.51421,0.82308,0.90165,0.71846,0.66781,0.71768,0.63164,0.41624,0.6359,0.79548,0.000136655,0.000136655,0.000136655
63,8555.87,0.50654,0.80445,0.89983,0.70025,0.66403,0.71738,0.6318,0.41851,0.63702,0.79681,0.000133239,0.000133239,0.000133239
64,8689.97,0.50861,0.80172,0.89856,0.72533,0.67492,0.72587,0.63616,0.41774,0.63335,0.79563,0.000129824,0.000129824,0.000129824
65,8825.63,0.51203,0.81419,0.90035,0.7065,0.6917,0.72897,0.64076,0.4128,0.62221,0.79394,0.000126408,0.000126408,0.000126408
66,8960.33,0.50812,0.79373,0.89955,0.7284,0.66559,0.72638,0.64032,0.4104,0.62426,0.79288,0.000122992,0.000122992,0.000122992
67,9094.06,0.50332,0.79288,0.89707,0.74236,0.66394,0.72962,0.64102,0.40901,0.61707,0.79253,0.000119577,0.000119577,0.000119577
68,9230.2,0.50207,0.78514,0.89559,0.69324,0.69193,0.73016,0.64393,0.40612,0.61347,0.79133,0.000116161,0.000116161,0.000116161
69,9362.67,0.50349,0.79223,0.89657,0.71492,0.67486,0.73067,0.64477,0.40664,0.61059,0.79146,0.000112746,0.000112746,0.000112746
70,9495.3,0.49995,0.78637,0.89517,0.70749,0.69143,0.73279,0.64873,0.40578,0.60513,0.78989,0.000109331,0.000109331,0.000109331
71,9627.61,0.50403,0.78994,0.89657,0.7305,0.67237,0.73253,0.64907,0.4032,0.60848,0.78907,0.000105915,0.000105915,0.000105915
72,9760.57,0.49639,0.779,0.89482,0.7407,0.67259,0.73598,0.65133,0.3988,0.59955,0.78921,0.0001025,0.0001025,0.0001025
73,9894.01,0.4925,0.77263,0.89451,0.7387,0.67837,0.73496,0.65004,0.39983,0.60049,0.7895,9.9084e-05,9.9084e-05,9.9084e-05
74,10028.9,0.49331,0.76821,0.89308,0.7437,0.68764,0.7421,0.65745,0.39776,0.59287,0.78793,9.56685e-05,9.56685e-05,9.56685e-05
75,10180.3,0.48866,0.76103,0.89273,0.72339,0.68869,0.73594,0.65097,0.4001,0.59444,0.78907,9.2253e-05,9.2253e-05,9.2253e-05
76,10327.2,0.48645,0.76322,0.89193,0.72755,0.6932,0.73951,0.65228,0.39782,0.59132,0.78718,8.88375e-05,8.88375e-05,8.88375e-05
77,10479,0.48424,0.75804,0.89161,0.72207,0.69082,0.74386,0.65766,0.39435,0.5855,0.7877,8.5422e-05,8.5422e-05,8.5422e-05
78,10630.8,0.48685,0.75641,0.89127,0.73649,0.69581,0.74374,0.65982,0.39584,0.58289,0.78657,8.20065e-05,8.20065e-05,8.20065e-05
79,10785.8,0.48964,0.75988,0.89317,0.72988,0.69716,0.74603,0.66104,0.39347,0.5815,0.7868,7.8591e-05,7.8591e-05,7.8591e-05
80,10940.6,0.48577,0.74621,0.89048,0.74309,0.69324,0.74754,0.66201,0.39311,0.57987,0.78703,7.51755e-05,7.51755e-05,7.51755e-05
81,11092.3,0.48096,0.7462,0.89024,0.74304,0.69049,0.74615,0.66183,0.3904,0.57698,0.78435,7.176e-05,7.176e-05,7.176e-05
82,11236.4,0.48278,0.74275,0.88938,0.74033,0.70007,0.74631,0.66222,0.39007,0.57486,0.78421,6.83445e-05,6.83445e-05,6.83445e-05
83,11379.5,0.47903,0.73621,0.88857,0.73264,0.70327,0.74938,0.66717,0.38635,0.5721,0.78357,6.4929e-05,6.4929e-05,6.4929e-05
84,11532.2,0.48046,0.72957,0.88788,0.73608,0.69993,0.74991,0.66487,0.38791,0.57063,0.78446,6.15135e-05,6.15135e-05,6.15135e-05
85,11675.4,0.47251,0.72804,0.88797,0.73674,0.69879,0.75109,0.66724,0.38711,0.56785,0.78469,5.8098e-05,5.8098e-05,5.8098e-05
86,11821.3,0.4724,0.72409,0.88668,0.74288,0.69703,0.75003,0.66631,0.38658,0.56603,0.7849,5.46825e-05,5.46825e-05,5.46825e-05
87,11965.4,0.47232,0.71733,0.88626,0.75388,0.69166,0.75389,0.6694,0.38406,0.56463,0.78344,5.1267e-05,5.1267e-05,5.1267e-05
88,12107.8,0.47407,0.72513,0.88793,0.74595,0.6981,0.75353,0.66962,0.38391,0.564,0.78301,4.78515e-05,4.78515e-05,4.78515e-05
89,12248.6,0.47173,0.72119,0.88554,0.74757,0.69854,0.75186,0.67034,0.38261,0.56123,0.78294,4.4436e-05,4.4436e-05,4.4436e-05
90,12389.3,0.46661,0.71412,0.88452,0.74775,0.69343,0.75341,0.67102,0.38332,0.56031,0.7832,4.10205e-05,4.10205e-05,4.10205e-05
91,12530.4,0.45152,0.64053,0.8818,0.74124,0.69359,0.74899,0.66316,0.39132,0.57159,0.78472,3.7605e-05,3.7605e-05,3.7605e-05
92,12666.8,0.43314,0.6067,0.87616,0.77311,0.67221,0.75348,0.66829,0.38569,0.56341,0.7827,3.41895e-05,3.41895e-05,3.41895e-05
93,12804,0.42848,0.59409,0.87177,0.72946,0.70793,0.75621,0.67146,0.3824,0.55678,0.78119,3.0774e-05,3.0774e-05,3.0774e-05
94,12940.4,0.42361,0.58917,0.87083,0.79466,0.66496,0.75637,0.67319,0.37931,0.55345,0.77979,2.73585e-05,2.73585e-05,2.73585e-05
95,13077.7,0.42505,0.58419,0.87066,0.758,0.68839,0.75654,0.67362,0.37749,0.55088,0.78008,2.3943e-05,2.3943e-05,2.3943e-05
96,13215.1,0.41793,0.57541,0.8682,0.7656,0.69317,0.75946,0.67729,0.37577,0.54756,0.77877,2.05275e-05,2.05275e-05,2.05275e-05
97,13352.5,0.41666,0.57461,0.87061,0.76605,0.69178,0.76095,0.67837,0.37497,0.54648,0.77806,1.7112e-05,1.7112e-05,1.7112e-05
98,13489.3,0.41771,0.57702,0.86859,0.76589,0.69775,0.76227,0.6792,0.37493,0.54437,0.77758,1.36965e-05,1.36965e-05,1.36965e-05
99,13626,0.41131,0.56308,0.86646,0.75614,0.70767,0.76351,0.68118,0.37277,0.54132,0.77742,1.0281e-05,1.0281e-05,1.0281e-05
100,13762.6,0.41182,0.56667,0.86779,0.74934,0.70955,0.76305,0.68134,0.37152,0.54028,0.777,6.8655e-06,6.8655e-06,6.8655e-06
